date,ounces_per_share,per_share_ounces_sold_to_cover_expenses,proceeds_per_share
1/1/2022,0.09344228,,
1/2/2022,0.09344228,,
1/3/2022,0.09344228,,
1/4/2022,0.09344211,,
1/5/2022,0.09341105,0.00003105,0.05670961
1/6/2022,0.09341106,,
1/7/2022,0.09341108,,
1/8/2022,0.09341108,,
1/9/2022,0.09341108,,
1/10/2022,0.09341108,,
1/11/2022,0.09341109,,
1/12/2022,0.09341109,,
1/13/2022,0.09341109,,
1/14/2022,0.09341109,,
1/15/2022,0.09341109,,
1/16/2022,0.09341109,,
1/17/2022,0.09341109,,
1/18/2022,0.09341109,,
1/19/2022,0.09341098,,
1/20/2022,0.09341099,,
1/21/2022,0.09341042,,
1/22/2022,0.09341042,,
1/23/2022,0.09341042,,
1/24/2022,0.09341042,,
1/25/2022,0.09341030,,
1/26/2022,0.09341027,,
1/27/2022,0.09341027,,
1/28/2022,0.09341027,,
1/29/2022,0.09341027,,
1/30/2022,0.09341027,,
1/31/2022,0.09341017,,
2/1/2022,0.09341016,,
2/2/2022,0.09341020,,
2/3/2022,0.09341026,,
2/4/2022,0.09337919,0.00003117,0.05625519
2/5/2022,0.09337919,,
2/6/2022,0.09337919,,
2/7/2022,0.09337919,,
2/8/2022,0.09337916,,
2/9/2022,0.09337916,,
2/10/2022,0.09337916,,
2/11/2022,0.09337912,,
2/12/2022,0.09337912,,
2/13/2022,0.09337912,,
2/14/2022,0.09337912,,
2/15/2022,0.09337912,,
2/16/2022,0.09337912,,
2/17/2022,0.09337912,,
2/18/2022,0.09337904,,
2/19/2022,0.09337904,,
2/20/2022,0.09337904,,
2/21/2022,0.09337904,,
2/22/2022,0.09337904,,
2/23/2022,0.09337892,,
2/24/2022,0.09337892,,
2/25/2022,0.09337898,,
2/26/2022,0.09337898,,
2/27/2022,0.09337898,,
2/28/2022,0.09337893,,
3/1/2022,0.09337856,,
3/2/2022,0.09337834,,
3/3/2022,0.09337834,,
3/4/2022,0.09335179,0.00002643,0.05140777
3/5/2022,0.09335179,,
3/6/2022,0.09335179,,
3/7/2022,0.09335174,,
3/8/2022,0.09335170,,
3/9/2022,0.09335174,,
3/10/2022,0.09335175,,
3/11/2022,0.09335173,,
3/12/2022,0.09335173,,
3/13/2022,0.09335173,,
3/14/2022,0.09335173,,
3/15/2022,0.09335176,,
3/16/2022,0.09335162,,
3/17/2022,0.09335158,,
3/18/2022,0.09335143,,
3/19/2022,0.09335143,,
3/20/2022,0.09335143,,
3/21/2022,0.09335140,,
3/22/2022,0.09335140,,
3/23/2022,0.09335132,,
3/24/2022,0.09335132,,
3/25/2022,0.09335119,,
3/26/2022,0.09335119,,
3/27/2022,0.09335119,,
3/28/2022,0.09335119,,
3/29/2022,0.09335124,,
3/30/2022,0.09335124,,
3/31/2022,0.09335124,,
4/1/2022,0.09335123,,
4/2/2022,0.09335123,,
4/3/2022,0.09335123,,
4/4/2022,0.09335128,,
4/5/2022,0.09332007,0.00003130,0.06084268
4/6/2022,0.09332007,,
4/7/2022,0.09332006,,
4/8/2022,0.09332004,,
4/9/2022,0.09332004,,
4/10/2022,0.09332004,,
4/11/2022,0.09332004,,
4/12/2022,0.09332001,,
4/13/2022,0.09331988,,
4/14/2022,0.09331994,,
4/15/2022,0.09331994,,
4/16/2022,0.09331994,,
4/17/2022,0.09331994,,
4/18/2022,0.09331993,,
4/19/2022,0.09331982,,
4/20/2022,0.09331982,,
4/21/2022,0.09331987,,
4/22/2022,0.09331987,,
4/23/2022,0.09331987,,
4/24/2022,0.09331987,,
4/25/2022,0.09331994,,
4/26/2022,0.09331998,,
4/27/2022,0.09332008,,
4/28/2022,0.09332008,,
4/29/2022,0.09332011,,
4/30/2022,0.09332011,,
5/1/2022,0.09332011,,
5/2/2022,0.09332018,,
5/3/2022,0.09332028,,
5/4/2022,0.09332028,,
5/5/2022,0.09332042,,
5/6/2022,0.09328853,0.00003199,0.06021048
5/7/2022,0.09328853,,
5/8/2022,0.09328853,,
5/9/2022,0.09328858,,
5/10/2022,0.09328865,,
5/11/2022,0.09328867,,
5/12/2022,0.09328874,,
5/13/2022,0.09328881,,
5/14/2022,0.09328881,,
5/15/2022,0.09328881,,
5/16/2022,0.09328885,,
5/17/2022,0.09328892,,
5/18/2022,0.09328892,,
5/19/2022,0.09328879,,
5/20/2022,0.09328864,,
5/21/2022,0.09328864,,
5/22/2022,0.09328864,,
5/23/2022,0.09328854,,
5/24/2022,0.09328854,,
5/25/2022,0.09328850,,
5/26/2022,0.09328850,,
5/27/2022,0.09328850,,
5/28/2022,0.09328850,,
5/29/2022,0.09328850,,
5/30/2022,0.09328850,,
5/31/2022,0.09328854,,
6/1/2022,0.09328858,,
6/2/2022,0.09328862,,
6/3/2022,0.09328862,,
6/4/2022,0.09328862,,
6/5/2022,0.09328862,,
6/6/2022,0.09325674,0.00003197,0.05905563
6/7/2022,0.09325674,,
6/8/2022,0.09325672,,
6/9/2022,0.09325672,,
6/10/2022,0.09325669,,
6/11/2022,0.09325669,,
6/12/2022,0.09325669,,
6/13/2022,0.09325669,,
6/14/2022,0.09325675,,
6/15/2022,0.09325675,,
6/16/2022,0.09325675,,
6/17/2022,0.09325657,,
6/18/2022,0.09325657,,
6/19/2022,0.09325657,,
6/20/2022,0.09325657,,
6/21/2022,0.09325660,,
6/22/2022,0.09325664,,
6/23/2022,0.09325684,,
6/24/2022,0.09325688,,
6/25/2022,0.09325688,,
6/26/2022,0.09325688,,
6/27/2022,0.09325701,,
6/28/2022,0.09325706,,
6/29/2022,0.09325711,,
6/30/2022,0.09325718,,
7/1/2022,0.09325745,,
7/2/2022,0.09325745,,
7/3/2022,0.09325745,,
7/4/2022,0.09325745,,
7/5/2022,0.09325781,,
7/6/2022,0.09322473,0.00003335,0.05851357
7/7/2022,0.09322473,,
7/8/2022,0.09322474,,
7/9/2022,0.09322474,,
7/10/2022,0.09322474,,
7/11/2022,0.09322474,,
7/12/2022,0.09322476,,
7/13/2022,0.09322478,,
7/14/2022,0.09322483,,
7/15/2022,0.09322487,,
7/16/2022,0.09322487,,
7/17/2022,0.09322487,,
7/18/2022,0.09322497,,
7/19/2022,0.09322497,,
7/20/2022,0.09322503,,
7/21/2022,0.09322503,,
7/22/2022,0.09322503,,
7/23/2022,0.09322503,,
7/24/2022,0.09322503,,
7/25/2022,0.09322505,,
7/26/2022,0.09322505,,
7/27/2022,0.09322505,,
7/28/2022,0.09322505,,
7/29/2022,0.09322503,,
7/30/2022,0.09322503,,
7/31/2022,0.09322503,,
8/1/2022,0.09322503,,
8/2/2022,0.09322513,,
8/3/2022,0.09322521,,
8/4/2022,0.09319376,0.00003144,0.05607206
8/5/2022,0.09319377,,
8/6/2022,0.09319377,,
8/7/2022,0.09319377,,
8/8/2022,0.09319377,,
8/9/2022,0.09319377,,
8/10/2022,0.09319379,,
8/11/2022,0.09319379,,
8/12/2022,0.09319380,,
8/13/2022,0.09319380,,
8/14/2022,0.09319380,,
8/15/2022,0.09319384,,
8/16/2022,0.09319387,,
8/17/2022,0.09319392,,
8/18/2022,0.09319398,,
8/19/2022,0.09319392,,
8/20/2022,0.09319392,,
8/21/2022,0.09319392,,
8/22/2022,0.09319395,,
8/23/2022,0.09319403,,
8/24/2022,0.09319403,,
8/25/2022,0.09319403,,
8/26/2022,0.09319408,,
8/27/2022,0.09319408,,
8/28/2022,0.09319408,,
8/29/2022,0.09319414,,
8/30/2022,0.09319428,,
8/31/2022,0.09319438,,
9/1/2022,0.09319439,,
9/2/2022,0.09319439,,
9/3/2022,0.09319439,,
9/4/2022,0.09319439,,
9/5/2022,0.09319439,,
9/6/2022,0.09319447,,
9/7/2022,0.09319447,,
9/8/2022,0.09319460,,
9/9/2022,0.09316117,0.00003348,0.05735905
9/10/2022,0.09316117,,
9/11/2022,0.09316117,,
