date,ounces_per_share,per_share_ounces_sold_to_cover_expenses,proceeds_per_share
1/1/2022,0.01902299,,
1/2/2022,0.01902299,,
1/3/2022,0.01902299,,
1/4/2022,0.01902298,,
1/5/2022,0.01901898,,
1/6/2022,0.01901898,,
1/7/2022,0.01901898,,
1/8/2022,0.01901898,,
1/9/2022,0.01901898,,
1/10/2022,0.01901898,,
1/11/2022,0.01901898,,
1/12/2022,0.01901898,,
1/13/2022,0.01901898,,
1/14/2022,0.01901898,,
1/15/2022,0.01901898,,
1/16/2022,0.01901898,,
1/17/2022,0.01901898,,
1/18/2022,0.01901898,,
1/19/2022,0.01901898,,
1/20/2022,0.01901897,,
1/21/2022,0.01901897,,
1/22/2022,0.01901897,,
1/23/2022,0.01901897,,
1/24/2022,0.01901897,,
1/25/2022,0.01901899,,
1/26/2022,0.01901898,,
1/27/2022,0.01901899,,
1/28/2022,0.01901899,,
1/29/2022,0.01901899,,
1/30/2022,0.01901899,,
1/31/2022,0.01901899,0.00000408,0.00735181
2/1/2022,0.01901898,,
2/2/2022,0.01901490,,
2/3/2022,0.01901491,,
2/4/2022,0.01901491,,
2/5/2022,0.01901491,,
2/6/2022,0.01901491,,
2/7/2022,0.01901490,,
2/8/2022,0.01901490,,
2/9/2022,0.01901490,,
2/10/2022,0.01901490,,
2/11/2022,0.01901490,,
2/12/2022,0.01901490,,
2/13/2022,0.01901490,,
2/14/2022,0.01901490,,
2/15/2022,0.01901489,,
2/16/2022,0.01901489,,
2/17/2022,0.01901489,,
2/18/2022,0.01901488,,
2/19/2022,0.01901488,,
2/20/2022,0.01901488,,
2/21/2022,0.01901488,,
2/22/2022,0.01901488,,
2/23/2022,0.01901488,,
2/24/2022,0.01901488,,
2/25/2022,0.01901488,,
2/26/2022,0.01901488,,
2/27/2022,0.01901488,,
2/28/2022,0.01901488,0.00000349,0.00669949
3/1/2022,0.01901487,,
3/2/2022,0.01901139,,
3/3/2022,0.01901139,,
3/4/2022,0.01901139,,
3/5/2022,0.01901139,,
3/6/2022,0.01901139,,
3/7/2022,0.01901139,,
3/8/2022,0.01901139,,
3/9/2022,0.01901139,,
3/10/2022,0.01901138,,
3/11/2022,0.01901138,,
3/12/2022,0.01901138,,
3/13/2022,0.01901138,,
3/14/2022,0.01901138,,
3/15/2022,0.01901138,,
3/16/2022,0.01901138,,
3/17/2022,0.01901138,,
3/18/2022,0.01901137,,
3/19/2022,0.01901137,,
3/20/2022,0.01901137,,
3/21/2022,0.01901136,,
3/22/2022,0.01901136,,
3/23/2022,0.01901136,,
3/24/2022,0.01901135,,
3/25/2022,0.01901135,,
3/26/2022,0.01901135,,
3/27/2022,0.01901135,,
3/28/2022,0.01901136,,
3/29/2022,0.01901136,,
3/30/2022,0.01901136,,
3/31/2022,0.01901134,0.00000402,0.00774978
4/1/2022,0.01901134,,
4/2/2022,0.01901134,,
4/3/2022,0.01901134,,
4/4/2022,0.01900733,,
4/5/2022,0.01900733,,
