date,ounces_per_share,per_share_ounces_sold_to_cover_expenses,proceeds_per_share
1/1/2022,0.92512740,,
1/2/2022,0.92512740,,
1/3/2022,0.92512740,,
1/4/2022,0.92512740,,
1/5/2022,0.92473428,,
1/6/2022,0.92473428,,
1/7/2022,0.92473428,,
1/8/2022,0.92473428,,
1/9/2022,0.92473428,,
1/10/2022,0.92473428,,
1/11/2022,0.92473428,,
1/12/2022,0.92473428,,
1/13/2022,0.92473452,,
1/14/2022,0.92473486,,
1/15/2022,0.92473486,,
1/16/2022,0.92473486,,
1/17/2022,0.92473486,,
1/18/2022,0.92473516,,
1/19/2022,0.92473600,,
1/20/2022,0.92473513,,
1/21/2022,0.92473703,,
1/22/2022,0.92473703,,
1/23/2022,0.92473703,,
1/24/2022,0.92473272,,
1/25/2022,0.92473147,,
1/26/2022,0.92473147,,
1/27/2022,0.92473147,,
1/28/2022,0.92473223,,
1/29/2022,0.92473223,,
1/30/2022,0.92473223,,
1/31/2022,0.92473223,0.00039403,0.00901536
2/1/2022,0.92473223,,
2/2/2022,0.92433808,,
2/3/2022,0.92433808,,
2/4/2022,0.92433808,,
2/5/2022,0.92433808,,
2/6/2022,0.92433808,,
2/7/2022,0.92433787,,
2/8/2022,0.92433736,,
2/9/2022,0.92433736,,
2/10/2022,0.92433736,,
2/11/2022,0.92433736,,
2/12/2022,0.92433736,,
2/13/2022,0.92433736,,
2/14/2022,0.92433655,,
2/15/2022,0.92433655,,
2/16/2022,0.92433655,,
2/17/2022,0.92433570,,
2/18/2022,0.92433532,,
2/19/2022,0.92433532,,
2/20/2022,0.92433532,,
2/21/2022,0.92433532,,
2/22/2022,0.92433518,,
2/23/2022,0.92433518,,
2/24/2022,0.92433619,,
2/25/2022,0.92433797,,
2/26/2022,0.92433797,,
2/27/2022,0.92433797,,
2/28/2022,0.92433797,0.00033560,0.00826928
3/1/2022,0.92433797,,
3/2/2022,0.92400237,,
3/3/2022,0.92400237,,
3/4/2022,0.92400237,,
3/5/2022,0.92400237,,
3/6/2022,0.92400237,,
3/7/2022,0.92400237,,
3/8/2022,0.92400202,,
3/9/2022,0.92400293,,
3/10/2022,0.92400293,,
3/11/2022,0.92400293,,
3/12/2022,0.92400293,,
3/13/2022,0.92400293,,
3/14/2022,0.92400239,,
3/15/2022,0.92400239,,
3/16/2022,0.92400256,,
3/17/2022,0.92400123,,
3/18/2022,0.92400038,,
3/19/2022,0.92400038,,
3/20/2022,0.92400038,,
3/21/2022,0.92400038,,
3/22/2022,0.92400038,,
3/23/2022,0.92400038,,
3/24/2022,0.92399930,,
3/25/2022,0.92399930,,
3/26/2022,0.92399930,,
3/27/2022,0.92399930,,
3/28/2022,0.92399827,,
3/29/2022,0.92399782,,
3/30/2022,0.92399683,,
3/31/2022,0.92399521,0.00039386,0.00972430
4/1/2022,0.92399521,,
4/2/2022,0.92399521,,
4/3/2022,0.92399521,,
4/4/2022,0.92360120,,
4/5/2022,0.92360108,,
4/6/2022,0.92360108,,
4/7/2022,0.92360108,,
4/8/2022,0.92360108,,
4/9/2022,0.92360108,,
4/10/2022,0.92360108,,
4/11/2022,0.92360123,,
4/12/2022,0.92360123,,
4/13/2022,0.92360123,,
