date,ounces_per_share,per_share_ounces_sold_to_cover_expenses,proceeds_per_share
1/1/2021,0.09381931,,
1/2/2021,0.09381931,,
1/3/2021,0.09381931,,
1/4/2021,0.09381880,,
1/5/2021,0.09381884,,
1/6/2021,0.09381884,,
1/7/2021,0.09381899,,
1/8/2021,0.09381899,,
1/9/2021,0.09381899,,
1/10/2021,0.09381899,,
1/11/2021,0.09378710,0.00003189,0.05890194
1/12/2021,0.09378710,,
1/13/2021,0.09378722,,
1/14/2021,0.09378735,,
1/15/2021,0.09378713,,
1/16/2021,0.09378713,,
1/17/2021,0.09378713,,
1/18/2021,0.09378713,,
1/19/2021,0.09378719,,
1/20/2021,0.09378719,,
1/21/2021,0.09378719,,
1/22/2021,0.09378720,,
1/23/2021,0.09378720,,
1/24/2021,0.09378720,,
1/25/2021,0.09378720,,
1/26/2021,0.09378722,,
1/27/2021,0.09378730,,
1/28/2021,0.09378741,,
1/29/2021,0.09378753,,
1/30/2021,0.09378753,,
1/31/2021,0.09378753,,
2/1/2021,0.09378761,,
2/2/2021,0.09378761,,
2/3/2021,0.09378761,,
2/4/2021,0.09378753,,
2/5/2021,0.09375416,0.00003347,0.06034783
2/6/2021,0.09375416,,
2/7/2021,0.09375416,,
2/8/2021,0.09375419,,
2/9/2021,0.09375422,,
2/10/2021,0.09375423,,
2/11/2021,0.09375428,,
2/12/2021,0.09375428,,
2/13/2021,0.09375428,,
2/14/2021,0.09375428,,
2/15/2021,0.09375428,,
2/16/2021,0.09375436,,
2/17/2021,0.09375442,,
2/18/2021,0.09375442,,
2/19/2021,0.09375451,,
2/20/2021,0.09375451,,
2/21/2021,0.09375451,,
2/22/2021,0.09375477,,
2/23/2021,0.09375488,,
2/24/2021,0.09375497,,
2/25/2021,0.09375512,,
2/26/2021,0.09375530,,
2/27/2021,0.09375530,,
2/28/2021,0.09375530,,
3/1/2021,0.09375556,,
3/2/2021,0.09375548,,
3/3/2021,0.09372382,0.00003180,0.05442657
3/4/2021,0.09372384,,
3/5/2021,0.09372388,,
3/6/2021,0.09372388,,
3/7/2021,0.09372388,,
3/8/2021,0.09372393,,
3/9/2021,0.09372394,,
3/10/2021,0.09372396,,
3/11/2021,0.09372401,,
3/12/2021,0.09372405,,
3/13/2021,0.09372405,,
3/14/2021,0.09372405,,
3/15/2021,0.09372407,,
3/16/2021,0.09372407,,
3/17/2021,0.09372411,,
3/18/2021,0.09372411,,
3/19/2021,0.09372404,,
3/20/2021,0.09372404,,
3/21/2021,0.09372404,,
3/22/2021,0.09372404,,
3/23/2021,0.09372419,,
3/24/2021,0.09372424,,
3/25/2021,0.09372424,,
3/26/2021,0.09372441,,
3/27/2021,0.09372441,,
3/28/2021,0.09372441,,
3/29/2021,0.09372439,,
3/30/2021,0.09372439,,
3/31/2021,0.09372439,,
4/1/2021,0.09372454,,
4/2/2021,0.09372454,,
4/3/2021,0.09372454,,
4/4/2021,0.09372454,,
4/5/2021,0.09372454,,
4/6/2021,0.09372468,,
4/7/2021,0.09369237,0.00003230,0.05614446
4/8/2021,0.09369239,,
4/9/2021,0.09369239,,
4/10/2021,0.09369239,,
4/11/2021,0.09369239,,
4/12/2021,0.09369239,,
4/13/2021,0.09369239,,
4/14/2021,0.09369244,,
4/15/2021,0.09369244,,
4/16/2021,0.09369249,,
4/17/2021,0.09369249,,
4/18/2021,0.09369249,,
4/19/2021,0.09369245,,
4/20/2021,0.09369245,,
4/21/2021,0.09369245,,
4/22/2021,0.09369245,,
4/23/2021,0.09369245,,
4/24/2021,0.09369245,,
4/25/2021,0.09369245,,
4/26/2021,0.09369245,,
4/27/2021,0.09369245,,
4/28/2021,0.09369245,,
4/29/2021,0.09369259,,
4/30/2021,0.09369259,,
5/1/2021,0.09369259,,
5/2/2021,0.09369259,,
5/3/2021,0.09369255,,
5/4/2021,0.09369255,,
5/5/2021,0.09366197,0.00003053,0.05441658
5/6/2021,0.09366197,,
5/7/2021,0.09366193,,
5/8/2021,0.09366193,,
5/9/2021,0.09366193,,
5/10/2021,0.09366193,,
5/11/2021,0.09366193,,
5/12/2021,0.09366193,,
5/13/2021,0.09366194,,
5/14/2021,0.09366188,,
5/15/2021,0.09366188,,
5/16/2021,0.09366188,,
5/17/2021,0.09366176,,
5/18/2021,0.09366176,,
5/19/2021,0.09366184,,
5/20/2021,0.09366173,,
5/21/2021,0.09366161,,
5/22/2021,0.09366161,,
5/23/2021,0.09366161,,
5/24/2021,0.09366154,,
5/25/2021,0.09366154,,
5/26/2021,0.09366159,,
5/27/2021,0.09366159,,
5/28/2021,0.09366161,,
5/29/2021,0.09366161,,
5/30/2021,0.09366161,,
5/31/2021,0.09366161,,
6/1/2021,0.09366153,,
6/2/2021,0.09366166,,
6/3/2021,0.09366166,,
6/4/2021,0.09363085,0.00003075,0.05813277
6/5/2021,0.09363085,,
6/6/2021,0.09363085,,
6/7/2021,0.09363089,,
6/8/2021,0.09363089,,
6/9/2021,0.09363084,,
6/10/2021,0.09363083,,
6/11/2021,0.09363083,,
6/12/2021,0.09363083,,
6/13/2021,0.09363083,,
6/14/2021,0.09363083,,
6/15/2021,0.09363083,,
6/16/2021,0.09363081,,
6/17/2021,0.09363088,,
6/18/2021,0.09363067,,
6/19/2021,0.09363067,,
6/20/2021,0.09363067,,
6/21/2021,0.09363075,,
6/22/2021,0.09363075,,
6/23/2021,0.09363081,,
6/24/2021,0.09363091,,
6/25/2021,0.09363091,,
6/26/2021,0.09363091,,
6/27/2021,0.09363091,,
6/28/2021,0.09363082,,
6/29/2021,0.09363082,,
6/30/2021,0.09363082,,
7/1/2021,0.09363091,,
7/2/2021,0.09363092,,
7/3/2021,0.09363092,,
7/4/2021,0.09363092,,
7/5/2021,0.09363092,,
7/6/2021,0.09359967,0.00003125,0.05656311
7/7/2021,0.09359968,,
7/8/2021,0.09359969,,
7/9/2021,0.09359969,,
7/10/2021,0.09359969,,
7/11/2021,0.09359969,,
7/12/2021,0.09359972,,
7/13/2021,0.09359972,,
7/14/2021,0.09359976,,
7/15/2021,0.09359976,,
7/16/2021,0.09359985,,
7/17/2021,0.09359985,,
7/18/2021,0.09359985,,
7/19/2021,0.09359985,,
7/20/2021,0.09359985,,
7/21/2021,0.09359985,,
7/22/2021,0.09359988,,
7/23/2021,0.09359988,,
7/24/2021,0.09359988,,
7/25/2021,0.09359988,,
7/26/2021,0.09359992,,
7/27/2021,0.09359992,,
7/28/2021,0.09359992,,
7/29/2021,0.09359976,,
7/30/2021,0.09359976,,
7/31/2021,0.09359976,,
8/1/2021,0.09359976,,
8/2/2021,0.09359982,,
8/3/2021,0.09359987,,
8/4/2021,0.09359987,,
8/5/2021,0.09356778,0.00003210,0.05780201
8/6/2021,0.09356779,,
8/7/2021,0.09356779,,
8/8/2021,0.09356779,,
8/9/2021,0.09356781,,
8/10/2021,0.09356781,,
8/11/2021,0.09356781,,
8/12/2021,0.09356781,,
8/13/2021,0.09356783,,
8/14/2021,0.09356783,,
8/15/2021,0.09356783,,
8/16/2021,0.09356785,,
8/17/2021,0.09356791,,
8/18/2021,0.09356794,,
8/19/2021,0.09356794,,
8/20/2021,0.09356802,,
8/21/2021,0.09356802,,
8/22/2021,0.09356802,,
8/23/2021,0.09356813,,
8/24/2021,0.09356818,,
8/25/2021,0.09356826,,
8/26/2021,0.09356826,,
