date,ounces_per_share,per_share_ounces_sold_to_cover_expenses,proceeds_per_share
1/1/2021,0.92972108,,
1/2/2021,0.92972108,,
1/3/2021,0.92972108,,
1/4/2021,0.92972108,,
1/5/2021,0.92936693,,
1/6/2021,0.92936697,,
1/7/2021,0.92936697,,
1/8/2021,0.92936697,,
1/9/2021,0.92936697,,
1/10/2021,0.92936697,,
1/11/2021,0.92936749,,
1/12/2021,0.92936803,,
1/13/2021,0.92936843,,
1/14/2021,0.92936899,,
1/15/2021,0.92936930,,
1/16/2021,0.92936930,,
1/17/2021,0.92936930,,
1/18/2021,0.92936930,,
1/19/2021,0.92936229,,
1/20/2021,0.92936199,,
1/21/2021,0.92936199,,
1/22/2021,0.92936199,,
1/23/2021,0.92936199,,
1/24/2021,0.92936199,,
1/25/2021,0.92936099,,
1/26/2021,0.92936268,,
1/27/2021,0.92936349,,
1/28/2021,0.92936618,,
1/29/2021,0.92934535,,
1/30/2021,0.92934535,,
1/31/2021,0.92934535,0.00032623,0.00965137
2/1/2021,0.92933552,,
2/2/2021,0.92901816,,
2/3/2021,0.92901844,,
2/4/2021,0.92901903,,
2/5/2021,0.92901940,,
2/6/2021,0.92901940,,
2/7/2021,0.92901940,,
2/8/2021,0.92902107,,
2/9/2021,0.92902133,,
2/10/2021,0.92902166,,
2/11/2021,0.92902257,,
2/12/2021,0.92902304,,
2/13/2021,0.92902304,,
2/14/2021,0.92902304,,
2/15/2021,0.92902304,,
2/16/2021,0.92902302,,
2/17/2021,0.92902363,,
2/18/2021,0.92902568,,
2/19/2021,0.92902657,,
2/20/2021,0.92902657,,
2/21/2021,0.92902657,,
2/22/2021,0.92902938,,
2/23/2021,0.92902576,,
2/24/2021,0.92902576,,
2/25/2021,0.92902668,,
2/26/2021,0.92902764,,
2/27/2021,0.92902764,,
2/28/2021,0.92902764,0.00036949,0.00993561
3/1/2021,0.92903141,,
3/2/2021,0.92865799,,
3/3/2021,0.92865792,,
3/4/2021,0.92865833,,
3/5/2021,0.92865868,,
3/6/2021,0.92865868,,
3/7/2021,0.92865868,,
3/8/2021,0.92865904,,
3/9/2021,0.92865904,,
3/10/2021,0.92865922,,
3/11/2021,0.92865922,,
3/12/2021,0.92865922,,
3/13/2021,0.92865922,,
3/14/2021,0.92865922,,
3/15/2021,0.92865932,,
3/16/2021,0.92865932,,
3/17/2021,0.92866006,,
3/18/2021,0.92866006,,
3/19/2021,0.92866064,,
3/20/2021,0.92866064,,
3/21/2021,0.92866064,,
3/22/2021,0.92866172,,
3/23/2021,0.92866172,,
3/24/2021,0.92866340,,
